Town,Year,Town Code,Number of Returns,Percent Affordable,Affordability Score,IIE Score,County
Suffield,2011,139,6020,4.9,13.775653640708464,87.04131300010255,Hartford
Thomaston,2011,140,3547,5.83,16.39021647455721,70.72664943799853,Litchfield
Thompson,2011,141,3993,5.18,14.562833848748946,34.4039477124128,Windham
Tolland,2011,142,6366,3.14,8.827663761596853,88.58599161179187,Tolland
Torrington,2011,143,15686,12.0,33.73629463030644,58.18464282629567,Litchfield
Trumbull,2011,144,15352,4.84,13.60697216755693,88.81186028868396,Fairfield
Union,2011,145,341,1.55,4.3576047230812485,85.84067233537334,Tolland
Vernon,2011,146,13745,16.33,45.90947427607534,71.18865158790803,Tolland
Voluntown,2011,147,1198,3.82,10.739387123980883,66.21622573238449,New London
Wallingford,2011,148,20699,5.05,14.197357323587292,79.29723237179628,New Haven
Warren,2011,149,435,0.25,0.7028394714647175,79.29294332339128,Litchfield
Washington,2011,150,1876,1.74,4.891762721394434,89.96978274710607,Litchfield
Waterbury,2011,151,45141,22.02,61.906100646612316,19.113129970237523,New Haven
Waterford,2011,152,9249,3.8,10.683159966263705,77.75292450474473,New London
Watertown,2011,153,9969,3.95,11.104863649142537,78.8104876293425,Litchfield
Westbrook,2011,154,3131,4.67,13.129041326960923,78.6640913949777,Middlesex
West Hartford,2011,155,27744,7.84,22.04104582513354,85.51394888069021,Hartford
West Haven,2011,156,23669,12.56,35.31065504638741,64.67818468697583,New Haven
Weston,2011,157,3901,0.03,0.0843407365757661,97.98188496292892,Fairfield
Westport,2011,158,11226,2.71,7.618779870677537,99.1494638742221,Fairfield
Wethersfield,2011,159,12827,8.29,23.30615687377003,80.26702309312618,Hartford
Willington,2011,160,2538,7.43,20.8883890919314,80.68544000706216,Tolland
Wilton,2011,161,7066,2.55,7.1689626089401175,97.41603300015956,Fairfield
Winchester,2011,162,5238,12.11,34.04554399775091,60.220865843677785,Litchfield
Windham,2011,163,9190,27.99,78.68990722518977,26.80389594809509,Windham
