Tax Year,Town,Fed AGI,CT AGI,CT Income Tax ,Federal EITC Claimed,Number of EITC Credits Claimed,Amount of EITC Claimed,Percentage By Town
2013,SHERMAN,1565247,1544100,4851,144694,93,36174,0.04
2013,SIMSBURY,6562827,6512279,23717,694268,425,173422,0.18
2013,SOMERS,4039700,3987481,10759,411687,244,102870,0.11
2013,SOUTHBURY,10076253,10006087,40137,1118239,659,279565,0.29
2013,SOUTHINGTON,6308878,6266811,15049,545374,367,136276,0.14
2013,SOUTH WINDSOR,26665365,26536143,88722,2317817,1425,579460,0.61
2013,SPRAGUE,4256326,4245939,16684,463975,216,115996,0.12
2013,STAFFORD,11866148,11808764,40788,1103532,608,275905,0.29
2013,STAMFORD,113894894,113543813,354390,11935074,6326,2983293,3.13
2013,STERLING,3964637,3929941,13772,409910,194,102129,0.11
2013,STONINGTON,15883994,15803279,47145,1538542,877,384375,0.4
2013,STRATFORD,53828016,53544156,165532,5489550,2801,1371920,1.44
2013,SUFFIELD,6039253,6010679,19132,552518,348,138133,0.14
2013,THOMASTON,6524040,6467576,14812,577062,349,144268,0.15
2013,THOMPSON,8890148,8849980,17073,803566,437,201499,0.21
2013,TOLLAND,5433124,5382502,18544,470575,301,116878,0.12
2013,TORRINGTON,42871714,42713952,138852,4298566,2284,1075614,1.13
2013,TRUMBULL,13016432,12907729,40662,1075709,730,268930,0.28
2013,UNION,51462,51462,223,3882,2,971,0
2013,VERNON,29234297,29111430,91086,3081225,1576,770318,0.81
2013,VOLUNTOWN,2255925,2243047,6599,223545,123,55886,0.06
2013,WALLINGFORD,31209490,31088096,100896,2921123,1652,729718,0.77
2013,WARREN,125649,118880,144,7782,8,1946,0
2013,WASHINGTON,2236217,2238081,7144,174468,121,43618,0.05
2013,WATERBURY,219398468,218891388,588577,27767501,11879,6934157,7.27
2013,WATERFORD,13699886,13563912,41535,1227494,721,306879,0.32
2013,WATERTOWN,15932334,15849625,42367,1477630,877,370774,0.39
2013,WESTBROOK,37456717,37300757,117405,3741227,2061,937704,0.98
2013,WEST HARTFORD,77125497,76840606,237266,8387365,4159,2097995,2.2
2013,WEST HAVEN,3890630,3854894,11182,368628,234,92154,0.1
2013,WESTON,672038,649987,3018,91137,86,22785,0.02
2013,WESTPORT,4603362,4572023,15449,469007,342,117257,0.12
2013,WETHERSFIELD,17891079,17788983,56151,1631963,965,407148,0.43
2013,WILLINGTON,3349531,3329135,10691,325407,190,81857,0.09
2013,WILTON,3090491,3072400,8736,262264,216,65567,0.07
2013,WINCHESTER,12833620,12779721,37652,1338846,692,336059,0.35
2013,WINDHAM,39794136,39682721,117931,4718348,2136,1178252,1.24
2013,WINDSOR,30012832,29840903,103558,2721322,1517,682051,0.72
2013,WINDSOR LOCKS,12140919,12076168,41307,1069445,612,267365,0.28
2013,WOLCOTT,11652738,11570338,35378,1140393,635,285104,0.3
2013,WOODBRIDGE,2657298,2631077,7080,259632,144,64908,0.07
2013,WOODBURY,5083467,5060017,18103,404881,271,101221,0.11
2013,WOODSTOCK,4863457,4863086,10834,476159,262,119043,0.12
2012,ANDOVER,1970066,1956960,5398,176852,92,53056,0.05
2012,ANSONIA,28733036,28592484,91203,3029363,1527,907278,0.8
2012,ASHFORD,3697785,3683077,9661,345966,198,103790,0.09
2012,AVON,4309824,4267660,9809,363372,265,109013,0.1
2012,BARKHAMSTED,2143557,2124892,6682,192142,116,57642,0.05
2012,BEACON FALLS,3955098,3910266,12304,317787,203,95335,0.08
2012,BERLIN,10509260,10458777,23497,1019763,608,305927,0.27
2012,BETHANY,1788589,1782111,3816,182273,109,54682,0.05
2012,BETHEL,11289389,11217480,36425,1137591,650,341276,0.3
2012,BETHLEHEM,1147033,1146595,2985,163690,108,49107,0.04
2012,BLOOMFIELD,23416969,23703139,72476,2206459,1235,661358,0.59
2012,BOLTON,2112202,2100825,5319,189170,124,56750,0.05
2012,BOZRAH,2224971,2217707,7464,167287,109,50186,0.04
2012,BRANFORD,17233919,17132958,40284,1747042,1067,524112,0.46
2012,BRIDGEPORT,293762305,292920152,750317,36417382,16100,10918758,9.67
2012,BRIDGEWATER,717514,717374,2384,52392,36,15718,0.01
2012,BRISTOL,66830343,66612789,197210,7075103,3572,2122267,1.88
2012,BROOKFIELD,6602096,6577629,20711,526639,367,157992,0.14
2012,BROOKLYN,7410873,7359568,23286,715994,387,214798,0.19
2012,BURLINGTON,3430885,3417046,10478,291245,196,87374,0.08
2012,CANAAN,4150672,4144093,11215,414852,224,124087,0.11
2012,CANTERBURY,4328169,4283836,10756,384411,219,116751,0.1
2012,CANTON,4001440,3967151,11171,338734,242,101620,0.09
2012,CHAPLIN,1941230,1928828,6376,175134,98,52540,0.05
2012,CHESHIRE,9973387,9858348,21484,934491,590,280305,0.25
2012,CHESTER,2230452,2215503,7302,216756,155,65028,0.06
2012,CLINTON,8695956,8632579,21152,865639,514,259426,0.23
2012,COLCHESTER,12051209,11962193,36472,1073577,607,321805,0.29
2012,COLEBROOK,264967,264967,343,30498,16,9149,0.01
2012,COLUMBIA,2612517,2606935,8335,234503,138,70351,0.06
2012,CORNWALL,999902,996856,1540,115838,64,34752,0.03
2012,COVENTRY,7597027,7548802,21060,676731,404,203020,0.18
2012,CROMWELL,7896124,7876085,23950,755241,449,226572,0.2
2012,DANBURY,86591988,86277212,236110,9295700,4602,2785645,2.47
2012,DARIEN,3113449,3095981,11920,284472,184,85342,0.08
2012,DEEP RIVER,2668919,2665727,8739,273886,177,82166,0.07
2012,DERBY,15097095,15034065,45289,1674315,836,502564,0.45
2012,DURHAM,2201576,2180319,7219,183822,137,55148,0.05
2012,EASTFORD,1051921,1058755,2135,106139,54,31842,0.03
2012,EAST GRANBY,2810906,2789288,9101,257634,150,77289,0.07
2012,EAST HADDAM,4873792,4853997,14460,420476,241,126143,0.11
2012,EAST HAMPTON,6704431,6649151,19791,553515,351,166053,0.15
2012,EAST HARTFORD,96726762,96433610,301363,10481733,4929,3144355,2.79
2012,EAST HAVEN,29233365,29094593,81282,2826261,1555,847050,0.75
2012,EAST LYME,9845137,10156390,29997,932645,570,279794,0.25
2012,EASTON,1128406,1122066,4647,101669,78,30501,0.03
2012,EAST WINDSOR,10426300,10380134,34435,982004,553,294599,0.26
2012,ELLINGTON,7534969,7489233,23524,609528,403,182858,0.16
2012,ENFIELD,36000298,35805122,113789,3544081,1933,1062925,0.94
2012,ESSEX,3127333,3120962,9074,255667,178,76700,0.07
2012,FAIRFIELD,18438261,18333016,51439,1824879,1163,546637,0.48
2012,FARMINGTON,10408759,10357735,26481,924520,613,277356,0.25
2012,FRANKLIN,1177055,1175045,2587,116784,58,35035,0.03
2012,GLASTONBURY,12634898,12591996,36522,1200559,723,360168,0.32
2012,GOSHEN,1876582,1852859,3769,164125,102,49238,0.04
2012,GRANBY,3870376,3842712,8840,359863,220,107959,0.1
2012,GREENWICH,22498195,22407122,64635,2330103,1354,699764,0.62
2012,GRISWOLD,13367034,13261500,33654,1381435,695,414431,0.37
2012,GROTON,30098871,29918258,99460,3403595,1645,1021563,0.9
2012,GUILFORD,7974145,7951454,25053,634381,487,190313,0.17
2012,HADDAM,3763778,3739560,8239,346433,209,103931,0.09
2012,HAMDEN,48038141,47814736,148344,4926123,2586,1477709,1.31
2012,HAMPTON,1381679,1365937,3226,144201,90,43260,0.04
2012,HARTFORD,288599731,288057803,831654,37264416,16186,11173195,9.9
2012,HARTLAND,1015401,1012980,3527,78378,56,23513,0.02
2012,HARWINTON,2281955,2263636,5225,216256,115,64877,0.06
2012,HEBRON,3939103,3906114,12196,327774,221,98332,0.09
2012,KENT,1752623,1743335,6828,174708,117,52412,0.05
2012,KILLINGLY,22409352,22305650,57094,2381225,1169,713953,0.63
2012,KILLINGWORTH,1585836,1577766,4072,134022,105,40206,0.04
2012,LEBANON,5030841,5008463,15344,481980,265,144595,0.13
2012,LEDYARD,12105565,11792077,38155,1141754,614,342528,0.3
2012,LISBON,3007410,2992538,7979,248850,146,74655,0.07
2012,LITCHFIELD,3766057,3743475,8783,395465,246,118639,0.11
2012,LYME,652748,646013,1143,50462,47,15139,0.01
2012,MADISON,4635470,4577492,12353,367953,279,110385,0.1
2012,MANCHESTER,69798150,69588057,203959,7319242,3746,2194091,1.94
2012,MANSFIELD,7778415,7758001,24977,703731,393,211120,0.19
2012,MARLBOROUGH,2453720,2433569,6912,227938,142,68381,0.06
2012,MERIDEN,92725452,92464448,284543,10723332,4864,3216682,2.85
2012,MIDDLEBURY,2912581,2898844,8805,264849,150,79455,0.07
2012,MIDDLEFIELD,2099697,2076286,3145,202382,116,60707,0.05
2012,MIDDLETOWN,46335166,46177955,140323,4888545,2546,1465682,1.3
2012,MILFORD,29327069,29089544,76974,2793855,1729,838154,0.74
2012,MONROE,7836384,7795527,22247,653312,420,195993,0.17
2012,MONTVILLE,18568690,18445585,58863,1787063,945,534856,0.47
2012,MORRIS,1361118,1353368,2836,126996,85,38098,0.03
2012,NAUGATUCK,37560369,37408520,106373,3869877,1928,1160377,1.03
2012,NEW BRITAIN,140632042,140260463,384790,17410774,7639,5219804,4.62
2012,NEW CANAAN,2140445,2171968,7628,271768,190,81530,0.07
2012,NEW FAIRFIELD,6005333,5958799,17191,566090,303,168886,0.15
2012,NEW HARTFORD,4177981,4174637,11605,348638,236,104592,0.09
2012,NEW HAVEN,208440298,208094364,580767,26013337,11878,7799516,6.91
2012,NEWINGTON,20862341,20726441,53578,1883599,1094,565080,0.5
2012,NEW LONDON,50376896,50292302,144761,6358604,2778,1906643,1.69
2012,NEW MILFORD,20208608,20088400,56717,1878243,1085,563473,0.5
2012,NEWTOWN,9177306,9122051,21919,912469,562,273701,0.24
2012,NORFOLK,1309689,1306270,3796,113518,78,34055,0.03
2012,NORTH BRANFORD,7475137,7421151,21279,609565,407,182871,0.16
2012,NORTH CANAAN,953710,952254,2462,82705,49,24812,0.02
2012,NORTH HAVEN,12704321,12610132,43277,1092890,725,327868,0.29
2012,NORTH STONINGTON,3362304,3351144,9850,346460,184,103319,0.09
2012,NORWALK,80851139,80628006,218482,8741481,4594,2621701,2.32
2012,NORWICH,69719149,69463331,200534,8200475,3745,2458898,2.18
2012,OLD LYME,3101774,3095034,8376,277168,195,83152,0.07
2012,OLD SAYBROOK,4861450,4818083,15233,417932,279,125381,0.11
2012,ORANGE,4236213,4205603,10033,369140,271,111392,0.1
2012,OXFORD,4933502,4903831,11534,445164,275,133549,0.12
2012,PLAINFIELD,20379141,20200439,62307,1985529,1007,595657,0.53
2012,PLAINVILLE,15082200,14988345,44902,1352673,805,405799,0.36
2012,PLYMOUTH,10935668,10868631,32379,941993,565,282598,0.25
2012,POMFRET,2691006,2677776,7687,227027,135,68108,0.06
2012,PORTLAND,5192652,5179031,12843,541651,294,162495,0.14
2012,PRESTON,3072201,3045208,5813,314553,165,94365,0.08
2012,PROSPECT,4652430,4616968,11626,408287,268,122485,0.11
2012,PUTNAM,12861455,12815226,33784,1326728,668,398018,0.35
2012,REDDING,1749719,1743224,3517,161755,121,48527,0.04
2012,RIDGEFIELD,4541944,4517700,12595,402765,279,120819,0.11
2012,ROCKY HILL,10398632,10353601,32311,893105,575,267931,0.24
2012,ROXBURY,791560,772757,2229,77137,48,23142,0.02
2012,SALEM,2308277,2291642,6222,171943,120,50964,0.05
2012,SALISBURY,2248188,2255915,5890,223799,134,67141,0.06
2012,SCOTLAND,482023,480555,1472,62835,46,18851,0.02
2012,SEYMOUR,12414834,12364626,37059,1264000,697,378532,0.34
2012,SHARON,1425774,1422549,2547,111484,89,33445,0.03
2012,SHELTON,23173105,23072556,67026,2211943,1304,663578,0.59
2012,SHERMAN,1746501,1730738,4629,179326,91,53798,0.05
2012,SIMSBURY,7202798,7163341,21799,691120,419,207337,0.18
2012,SOMERS,4545061,4491393,10036,437102,259,131130,0.12
2012,SOUTHBURY,5974650,5905040,17512,533175,370,159952,0.14
2012,SOUTHINGTON,25804219,25673497,74270,2195382,1372,658617,0.58
2012,SOUTH WINDSOR,12603996,12550252,34564,1130530,657,339158,0.3
2012,SPRAGUE,4344887,4327151,16999,462415,204,138723,0.12
2012,STAFFORD,11212521,11142364,34444,1052896,582,315866,0.28
2012,STAMFORD,111761546,111461317,309484,11952706,6311,3581543,3.17
2012,STERLING,3877970,3860081,11806,375616,196,112685,0.1
2012,STONINGTON,14957037,14887756,43602,1518828,876,455650,0.4
2012,STRATFORD,53175498,52895157,161675,5347351,2741,1603335,1.42
2012,SUFFIELD,5353893,5313929,16412,494865,316,148460,0.13
2012,THOMASTON,7059802,6985781,19102,619650,370,185896,0.16
2012,THOMPSON,8288775,8244647,16452,753698,414,226109,0.2
2012,TOLLAND,5613010,5583451,18918,450246,295,135072,0.12
2012,TORRINGTON,42583362,42421410,119064,4314241,2262,1294270,1.15
2012,TRUMBULL,13526048,13443419,36105,1218902,776,365081,0.32
2012,UNION,350313,344012,515,26329,15,7899,0.01
2012,VERNON,30254444,30157744,93526,3086082,1601,926285,0.82
2012,VOLUNTOWN,1963523,1952246,4733,198323,112,59497,0.05
2012,WALLINGFORD,29665854,29479345,84977,2743340,1597,821863,0.73
2012,WARREN,572536,562858,1350,62053,38,18616,0.02
2012,WASHINGTON,2467067,2441524,7486,185037,129,55512,0.05
2012,WATERBURY,214662918,214156409,554201,27309766,11714,8189255,7.25
2012,WATERFORD,12953825,12863510,35569,1287715,743,386012,0.34
2012,WATERTOWN,15180594,15101258,38335,1454720,844,435990,0.39
2012,WESTBROOK,4154044,4140049,12144,366644,262,109993,0.1
2012,WEST HARTFORD,37771722,37587330,95299,3875537,2122,1161585,1.03
2012,WEST HAVEN,77576805,77318220,217514,8400435,4154,2519632,2.23
2012,WESTON,661262,646274,4785,116846,97,35054,0.03
2012,WESTPORT,3435669,3413079,11418,481483,351,146015,0.13
2012,WETHERSFIELD,17232667,17140992,47627,1653325,938,496543,0.44
2012,WILLINGTON,3014005,3000172,11181,266607,166,79982,0.07
2012,WILTON,2723253,2694064,7553,237714,199,71314,0.06
2012,WINCHESTER,13062614,12996516,34137,1315146,706,394368,0.35
2012,WINDHAM,40118053,39987562,101218,4843390,2169,1451167,1.29
2012,WINDSOR,28138427,27997515,95375,2586956,1474,775534,0.69
2012,WINDSOR LOCKS,12820722,12775462,45258,1140689,637,342208,0.3
2012,WOLCOTT,11290192,11202138,28744,1129948,629,338983,0.3
2012,WOODBRIDGE,2757974,2736332,6754,252357,169,75708,0.07
2012,WOODBURY,4761477,4722374,13006,427445,283,128235,0.11
2012,WOODSTOCK,5257770,5203302,13021,413567,268,124070,0.11
2011,ANDOVER,1569909,1562830,4765,146755,88,44151,0.04
2011,ANSONIA,27056165,26941611,78779,2989522,1450,899213,0.81
2011,ASHFORD,3594218,3551304,6688,302667,187,90800,0.08
2011,AVON,3712451,3701375,7737,339784,235,103091,0.09
2011,BARKHAMSTED,2175132,2158979,6499,185063,112,55518,0.05
2011,BEACON FALLS,3236448,3221091,9895,292620,162,87786,0.08
2011,BERLIN,7958492,7918621,14720,720954,471,218801,0.2
2011,BETHANY,2005755,1991919,5016,165150,119,51246,0.05
2011,BETHEL,10856050,10784217,27795,1033856,584,312134,0.28
2011,BETHLEHEM,1945799,1934395,5269,189145,110,56719,0.05
2011,BLOOMFIELD,23517383,23420669,80727,2086866,1222,628247,0.57
2011,BOLTON,2032079,2024582,6059,195232,116,58681,0.05
2011,BOZRAH,1633472,1632567,3580,155081,88,46523,0.04
2011,BRANFORD,15422009,15299416,39505,1398439,911,423358,0.38
2011,BRIDGEPORT,283338934,282671530,698129,35753471,15703,10815388,9.77
2011,BRIDGEWATER,379982,379982,1380,35643,24,10722,0.01
2011,BRISTOL,60552144,60355230,166479,6378088,3290,1924733,1.74
2011,BROOKFIELD,6213721,6197419,15849,545201,356,164726,0.15
2011,BROOKLYN,7160625,7125462,19709,679448,396,206780,0.19
2011,BURLINGTON,3570158,3541365,10366,259496,178,77848,0.07
2011,CANAAN,4310119,4296731,13229,393353,220,119533,0.11
2011,CANTERBURY,3957224,3904262,9550,354897,221,106778,0.1
2011,CANTON,3977262,3957397,13131,332417,237,99829,0.09
2011,CHAPLIN,1910078,1889988,4857,161788,101,48536,0.04
2011,CHESHIRE,8581434,8523044,21058,770799,512,232747,0.21
2011,CHESTER,2260165,2253067,11239,197763,134,59328,0.05
2011,CLINTON,7965413,7893279,22979,718403,445,216168,0.2
2011,COLCHESTER,9692799,9635995,25761,938188,498,282699,0.26
2011,COLEBROOK,284386,284332,5,30021,20,9006,0.01
2011,COLUMBIA,2175320,2163942,5863,222880,121,66864,0.06
2011,CORNWALL,890681,890681,1374,106009,55,31802,0.03
2011,COVENTRY,7172633,7130224,23784,631184,388,192223,0.17
2011,CROMWELL,6509300,6490407,14435,627511,377,190714,0.17
2011,DANBURY,79517630,79303668,213591,8441068,4234,2552100,2.31
2011,DARIEN,2364958,2350735,7668,219839,180,66146,0.06
2011,DEEP RIVER,3038992,3038586,7429,266625,176,80771,0.07
2011,DERBY,13746175,13665563,36959,1474138,737,444577,0.4
2011,DURHAM,2062044,2048343,5262,168290,116,50486,0.05
2011,EASTFORD,2620889,2605835,6158,221047,133,67678,0.06
2011,EAST GRANBY,4232697,4218774,11327,396188,227,119491,0.11
2011,EAST HADDAM,6400564,6363140,15512,549991,355,168229,0.15
2011,EAST HAMPTON,92161758,91961330,258284,10299513,4905,3123053,2.82
2011,EAST HARTFORD,26476257,26302093,64642,2652203,1421,800316,0.72
2011,EAST HAVEN,9068973,9027141,24378,850906,522,258929,0.23
2011,EAST LYME,9919298,9878058,26086,959799,553,294053,0.27
2011,EASTON,1014168,1012975,3614,98549,55,29565,0.03
2011,EAST WINDSOR,1080122,1067505,2729,86624,80,26099,0.02
2011,ELLINGTON,6862676,6841914,23555,617723,366,185248,0.17
2011,ENFIELD,34379771,34216159,92037,3275450,1855,996367,0.9
2011,ESSEX,2975644,2964674,8686,315001,176,95185,0.09
2011,FAIRFIELD,16378815,16283172,43218,1680550,1004,509151,0.46
2011,FARMINGTON,10001875,9942089,24692,834337,558,251353,0.23
2011,FRANKLIN,792920,781909,1729,106791,48,32037,0.03
2011,GLASTONBURY,11862383,11807318,33919,1190932,709,357731,0.32
2011,GOSHEN,1557637,1554530,4455,139205,91,41882,0.04
2011,GRANBY,3234119,3221283,9183,287279,197,86832,0.08
2011,GREENWICH,19972414,19907842,54962,1982065,1218,603597,0.55
2011,GRISWOLD,13932523,13888607,38461,1285939,721,388327,0.35
2011,GROTON,28502980,28344326,87653,3223326,1569,979895,0.89
2011,GUILFORD,6133579,6077573,14527,604660,450,181699,0.16
2011,HADDAM,3165487,3160777,5169,300425,191,90366,0.08
2011,HAMDEN,45668998,45429640,130040,4448262,2469,1345711,1.22
2011,HAMPTON,1480289,1470862,3018,126696,81,38100,0.03
2011,HARTFORD,285309182,284895498,785153,37102494,16121,11200838,10.12
2011,HARTLAND,890567,846820,4400,74608,50,23052,0.02
2011,HARWINTON,2584597,2565744,7142,194682,133,60882,0.06
2011,HEBRON,4012662,3978456,11436,320604,205,96289,0.09
2011,KENT,2010224,1996366,7192,158466,104,48048,0.04
2011,KILLINGLY,22363838,22312170,60049,2243611,1155,682252,0.62
2011,KILLINGWORTH,1836366,1826176,5446,134367,122,40461,0.04
2011,LEBANON,5014762,5003840,15146,459429,258,138393,0.13
2011,LEDYARD,10942479,10794814,33926,1010939,556,304570,0.28
2011,LISBON,2751819,2737547,9756,234828,125,70452,0.06
2011,LITCHFIELD,4081922,4064192,7941,369531,245,111824,0.1
2011,LYME,632887,631892,1737,57432,40,17230,0.02
2011,MADISON,4819446,4785107,10600,363634,286,109324,0.1
2011,MANCHESTER,65223550,65019279,179554,6957167,3546,2097721,1.9
2011,MANSFIELD,7335057,7297852,19304,654335,391,198678,0.18
2011,MARLBOROUGH,2170299,2157130,6209,209266,130,62905,0.06
2011,MERIDEN,86960711,86717572,254348,10024920,4700,3034484,2.74
2011,MIDDLEBURY,2456482,2425958,4844,224238,137,67270,0.06
2011,MIDDLEFIELD,2154906,2133204,3812,209787,124,63036,0.06
2011,MIDDLETOWN,42978430,42867550,119553,4539812,2408,1373399,1.24
2011,MILFORD,28026997,27973268,86136,2622309,1655,793565,0.72
2011,MONROE,6760098,6706364,22219,546684,372,164833,0.15
2011,MONTVILLE,16974593,16909682,50576,1585424,866,482511,0.44
2011,MORRIS,1381165,1379162,2699,127047,85,38114,0.03
2011,NAUGATUCK,34056688,33909305,80727,3565745,1811,1079927,0.98
2011,NEW BRITAIN,134699722,134476045,366384,16552257,7299,4995156,4.51
2011,NEW CANAAN,2674048,2668713,8314,227329,176,69570,0.06
2011,NEW FAIRFIELD,5549816,5507663,15201,464642,298,142685,0.13
2011,NEW HARTFORD,3100695,3086153,5356,279052,189,83870,0.08
2011,NEW HAVEN,203756913,203589627,544458,25729794,11631,7773996,7.02
2011,NEWINGTON,48554503,48470913,141177,6044722,2730,1836111,1.66
2011,NEW LONDON,17460879,17369461,47994,1604383,933,487690,0.44
2011,NEW MILFORD,18489622,18396527,53266,1578949,979,480811,0.43
2011,NEWTOWN,7790569,7740593,16445,752153,483,227222,0.21
2011,NORFOLK,1199957,1197457,2959,102472,68,30741,0.03
2011,NORTH BRANFORD,6597893,6553337,16375,621538,367,187315,0.17
2011,NORTH CANAAN,645462,645343,295,73148,34,21945,0.02
2011,NORTH HAVEN,11336830,11259916,34490,970667,630,292574,0.26
2011,NORTH STONINGTON,2852056,2826378,7880,277138,157,84231,0.08
2011,NORWALK,75904013,75714162,201873,8348198,4338,2524165,2.28
2011,NORWICH,63463582,63275784,187780,7249262,3432,2204366,1.99
2011,OLD LYME,2560164,2556658,4711,252433,168,75729,0.07
2011,OLD SAYBROOK,4886308,4866324,15961,453675,305,139039,0.13
2011,ORANGE,3365980,3349810,8059,313037,226,94042,0.08
2011,OXFORD,4226991,4207500,11333,407744,249,122260,0.11
2011,PLAINFIELD,18839870,18740826,49146,1826449,948,555518,0.5
2011,PLAINVILLE,13928494,13845706,35705,1222123,754,367443,0.33
2011,PLYMOUTH,10621636,10579939,30651,935932,548,284345,0.26
2011,POMFRET,2821190,2802704,7738,238785,149,73360,0.07
2011,PORTLAND,4850635,4827240,14515,463959,276,143476,0.13
2011,PRESTON,3124179,3109641,6583,273039,171,81911,0.07
2011,PROSPECT,4275139,4217586,11331,424386,257,128003,0.12
2011,PUTNAM,11403015,11342062,25969,1173429,627,359008,0.32
2011,REDDING,1559298,1554475,3283,170332,109,51100,0.05
2011,RIDGEFIELD,3876179,3843682,10357,318943,255,97018,0.09
2011,ROCKY HILL,8640668,8607452,27519,843392,527,255095,0.23
2011,ROXBURY,755410,746175,1632,66678,48,20003,0.02
2011,SALEM,1900971,1892308,6309,174549,103,52415,0.05
2011,SALISBURY,1939285,1933246,5112,180287,119,54087,0.05
2011,SCOTLAND,666811,660801,2459,45064,32,13867,0.01
2011,SEYMOUR,11120388,11079129,36468,1044476,609,313899,0.28
2011,SHARON,1070058,1065909,1691,106467,65,32875,0.03
2011,SHELTON,20932254,20821743,59150,1910866,1129,575332,0.52
2011,SHERMAN,1229544,1221420,1144,127971,74,38391,0.03
2011,SIMSBURY,6812640,6784588,15798,631256,401,190056,0.17
2011,SOMERS,4035033,4003013,8033,385616,234,117132,0.11
2011,SOUTHBURY,10653601,10583982,27971,995714,559,301058,0.27
2011,SOUTHINGTON,5363251,5300298,13419,444795,324,133577,0.12
2011,SOUTH WINDSOR,23154538,23033983,58596,2025751,1273,610247,0.55
2011,SPRAGUE,3726382,3719681,12471,386090,184,117433,0.11
2011,STAFFORD,10469574,10420518,29705,954094,542,289368,0.26
2011,STAMFORD,102524330,102240648,280941,11047024,5842,3353810,3.03
2011,STERLING,3193809,3186697,8338,321006,169,97200,0.09
2011,STONINGTON,14176165,14122672,37808,1382495,857,427902,0.39
2011,STRATFORD,49845316,49610060,136386,4997220,2610,1512380,1.37
2011,SUFFIELD,4961481,4937204,12923,438514,286,131932,0.12
2011,THOMASTON,6238055,6181824,14558,587198,338,178467,0.16
2011,THOMPSON,7561645,7521536,14834,755178,398,228191,0.21
2011,TOLLAND,4886812,4868418,10894,387655,267,116351,0.11
2011,TORRINGTON,40512989,40376370,105111,4178360,2182,1268240,1.15
2011,TRUMBULL,11510100,11463724,28365,994538,671,300070,0.27
2011,UNION,200013,196902,1265,9764,9,2936,0
2011,VERNON,26940385,26852114,72732,2730834,1472,828441,0.75
2011,VOLUNTOWN,2256144,2240868,5469,213096,120,64350,0.06
2011,WALLINGFORD,26828684,26710723,67955,2450919,1473,741176,0.67
2011,WARREN,487176,479878,550,43499,27,13050,0.01
2011,WASHINGTON,2311152,2301616,6457,187771,126,56332,0.05
2011,WATERBURY,210268677,209696840,555684,26694777,11610,8080376,7.3
2011,WATERFORD,12298062,12266069,35004,1243308,698,375146,0.34
2011,WATERTOWN,14711559,14633675,34760,1239943,782,376295,0.34
2011,WESTBROOK,35788874,35643522,94807,3611129,2010,1087544,0.98
2011,WEST HARTFORD,72689561,72476035,186227,8038885,3916,2423405,2.19
2011,WEST HAVEN,3377804,3361541,10840,314497,218,94794,0.09
2011,WESTON,645957,641105,1856,106362,72,31908,0.03
2011,WESTPORT,2647475,2627519,9664,355113,278,108243,0.1
2011,WETHERSFIELD,16101379,16060901,41410,1438490,857,432009,0.39
2011,WILLINGTON,3128328,3114899,8195,272178,185,82574,0.07
2011,WILTON,1874040,1868356,3945,219900,150,66897,0.06
2011,WINCHESTER,13172242,13123032,29270,1387936,722,421177,0.38
2011,WINDHAM,39922671,39811172,95361,4870211,2210,1473060,1.33
2011,WINDSOR,26940642,26797011,77834,2452497,1428,740394,0.67
2011,WINDSOR LOCKS,11121828,11064006,36398,1005821,559,308848,0.28
2011,WOLCOTT,10801593,10740318,25021,1005824,595,307020,0.28
2011,WOODBRIDGE,1570985,1557812,4406,192700,129,58618,0.05
2011,WOODBURY,4180289,4151545,14908,366233,234,111340,0.1
2011,WOODSTOCK,4174239,4137157,7499,379130,223,113840,0.1
2018,ANDOVER,1670958,1668272,8426,163134,85,37521,0.04
2018,ANSONIA,32895956,32792762,187121,3516527,1631,810144,0.85
2018,ASHFORD,4550040,4602926,29725,382916,203,88066,0.09
2018,AVON,4881877,4830955,19261,416355,278,95760,0.1
2018,BARKHAMSTED,2064928,2113006,7759,202109,112,46485,0.05
2018,BEACON FALLS,3838291,3837738,24292,299996,189,68998,0.07
2018,BERLIN,10832568,11114246,75684,957315,561,220978,0.23
2018,BETHANY,1503329,1514060,9389,166093,131,38201,0.04
2018,BETHEL,13817641,13803671,64281,1291799,677,297296,0.31
2018,BETHLEHEM,2166828,2305834,17274,194098,114,44643,0.05
2018,BLOOMFIELD,27636877,27631166,164696,2466960,1288,567249,0.6
2018,BOLTON,2349991,2440570,14920,224885,127,51722,0.05
2018,BOZRAH,1995854,1986251,10652,173875,92,39992,0.04
2018,BRANFORD,18361322,18461275,95121,1699533,1080,390891,0.41
2018,BRIDGEPORT,308324675,308095459,1406138,37223860,15519,8570144,9.03
2018,BRIDGEWATER,555028,584241,2717,46018,32,10584,0.01
2018,BRISTOL,79438688,79415267,395480,8448382,3909,1944418,2.05
2018,BROOKFIELD,8252321,8309960,41725,794409,460,182714,0.19
2018,BROOKLYN,7480897,7550461,38048,772707,389,177721,0.19
2018,BURLINGTON,3896361,4074749,35618,331045,184,76140,0.08
2018,CANAAN,4036976,4084197,18715,400086,197,92020,0.1
2018,CANTERBURY,4905513,4993136,33030,436847,230,100474,0.11
2018,CANTON,4087984,4249085,31002,352445,235,81062,0.09
2018,CHAPLIN,2120913,2307160,17884,233928,116,53803,0.06
2018,CHESHIRE,10647628,11102952,65903,1037743,600,238680,0.25
2018,CHESTER,1748536,1748981,6409,171768,102,39508,0.04
