Tax Year,Town,Fed AGI,CT AGI,CT Income Tax ,Federal EITC Claimed,Number of EITC Credits Claimed,Amount of EITC Claimed,Percentage By Town
2017,WEST HAVEN,78659807,78353350,311226,9122669,4138,2099236,2.24
2017,WESTON,1181985,1179560,5932,140327,93,32275,0.03
2017,WESTPORT,5013769,4975291,22692,514283,351,118282,0.13
2017,WETHERSFIELD,19202091,19122333,100318,1808504,993,415956,0.44
2017,WILLINGTON,3573366,3567198,17008,330226,191,75952,0.08
2017,WILTON,1813319,1787543,9843,201735,172,46400,0.05
2017,WINCHESTER,13028577,12939655,55390,1349768,672,310445,0.33
2017,WINDHAM,43122443,43029736,187700,5070198,2214,1165171,1.24
2017,WINDSOR,33319929,33144262,186319,3065764,1639,704977,0.75
2017,WINDSOR LOCKS,13337089,13286668,68809,1267842,658,291602,0.31
2017,WOLCOTT,11522970,11465949,52212,1110951,590,255518,0.27
2017,WOODBRIDGE,2934238,2913150,12621,312817,173,71947,0.08
2017,WOODBURY,5017866,5001061,24229,445504,286,102466,0.11
2017,WOODSTOCK,4924000,4899787,20789,438109,240,100765,0.11
2016,ANDOVER,1608292,1603466,7237,156431,103,43019,0.04
2016,ANSONIA,30590478,30431728,131852,3517855,1591,969631,0.87
2016,ASHFORD,4273054,4247770,18287,387181,210,107118,0.1
2016,AVON,4501295,4422843,21241,355912,260,98853,0.09
2016,BARKHAMSTED,2101179,2091752,7393,190839,121,52480,0.05
2016,BEACON FALLS,4237190,4198130,19833,383554,237,105478,0.09
2016,BERLIN,11150677,11074561,48450,1024014,606,281880,0.25
2016,BETHANY,2322048,2311255,8940,176454,130,48526,0.04
2016,BETHEL,13095152,13053139,55680,1255602,670,345293,0.31
2016,BETHLEHEM,2153134,2138350,9474,203197,115,55879,0.05
2016,BLOOMFIELD,26145389,26002700,130410,2366357,1288,651752,0.58
2016,BOLTON,1966179,1950878,7146,196794,119,54119,0.05
2016,BOZRAH,2235355,2230595,12385,180040,119,49513,0.04
2016,BRANFORD,19909853,19805783,70684,1875225,1130,516618,0.46
2016,BRIDGEPORT,303745973,302977469,1122685,37446516,16030,10299440,9.23
2016,BRIDGEWATER,440323,435649,1668,34214,30,9410,0.01
2016,BRISTOL,74756537,74533553,309452,8143840,3881,2239368,2.01
2016,BROOKFIELD,8428972,8381061,41838,716579,470,197058,0.18
2016,BROOKLYN,7837317,7785579,29112,859024,416,236234,0.21
2016,BURLINGTON,3684604,3616108,13187,326436,190,89771,0.08
2016,CANAAN,4038607,4027719,17235,356780,207,98115,0.09
2016,CANTERBURY,4796246,4782067,18998,488210,240,134259,0.12
2016,CANTON,4245931,4178190,17630,389468,247,107220,0.1
2016,CHAPLIN,1921714,1900779,5086,201593,124,55438,0.05
2016,CHESHIRE,9953988,9856494,44321,902934,583,249116,0.22
2016,CHESTER,2199764,2195159,9235,182109,136,50081,0.04
2016,CLINTON,9556537,9465636,36644,939005,527,259145,0.23
2016,COLCHESTER,10369648,10300117,54090,989530,559,273659,0.25
2016,COLEBROOK,933415,931383,4378,84978,51,23370,0.02
2016,COLUMBIA,2828979,2823292,11682,239000,145,65726,0.06
2016,CORNWALL,1207726,1207535,4063,128899,76,35447,0.03
2016,COVENTRY,7594078,7565174,33106,703869,413,194286,0.17
2016,CROMWELL,7928668,7884042,32139,831072,424,228546,0.2
2016,DANBURY,95980262,95713597,366649,10182367,4817,2802107,2.51
2016,DARIEN,1779103,1768745,8605,312092,185,85826,0.08
2016,DEEP RIVER,3407490,3405384,17301,285608,182,78543,0.07
2016,DERBY,17874049,17826904,81424,1904072,899,521222,0.47
2016,DURHAM,2637028,2610637,14123,257330,149,70765,0.06
2016,EASTFORD,1182048,1180925,6266,83080,58,22847,0.02
2016,EAST GRANBY,2859192,2844301,12070,236689,144,65727,0.06
2016,EAST HADDAM,5524179,5498052,23749,448301,289,121989,0.11
2016,EAST HAMPTON,6429440,6401255,22204,621813,366,170921,0.15
2016,EAST HARTFORD,101942219,101593328,455106,11150138,5041,3069445,2.75
2016,EAST HAVEN,29673017,29489369,120457,3075631,1589,847191,0.76
2016,EAST LYME,10343118,10415907,52298,1007247,558,276992,0.25
2016,EASTON,1276769,1272669,3253,145153,96,39918,0.04
2016,EAST WINDSOR,10366193,10331454,40500,1063500,558,293040,0.26
2016,ELLINGTON,7510826,7438969,33837,656054,400,181097,0.16
2016,ENFIELD,38993550,38769455,157290,4038047,2028,1109894,1
2016,ESSEX,2473402,2466426,11378,205546,149,57188,0.05
2016,FAIRFIELD,19878788,19666150,78535,2007833,1187,554543,0.5
2016,FARMINGTON,11802068,11749823,51050,1080371,640,298574,0.27
2016,FRANKLIN,1246584,1244523,4641,110786,64,30467,0.03
2016,GLASTONBURY,13548713,13509564,52842,1249672,757,345072,0.31
2016,GOSHEN,1845795,1825925,8097,131684,89,36214,0.03
2016,GRANBY,3660815,3622856,14777,305720,205,84072,0.08
2016,GREENWICH,21771040,21676726,85969,2483234,1343,682578,0.61
2016,GRISWOLD,14704223,14538892,68360,1443874,701,396782,0.36
2016,GROTON,33589550,33353487,141754,3669845,1757,1010473,0.91
2016,GUILFORD,8207129,8160089,31322,737004,491,202473,0.18
2016,HADDAM,3894250,3866860,14466,340830,222,93729,0.08
2016,HAMDEN,52463001,52201218,231902,5348787,2777,1475576,1.32
2016,HAMPTON,1660906,1645588,8840,160183,88,44050,0.04
2016,HARTFORD,299940368,299367181,1173016,39589090,16176,10891887,9.77
2016,HARTLAND,1001128,997348,3385,90053,59,24765,0.02
2016,HARWINTON,2493993,2460707,9602,242463,140,66679,0.06
2016,HEBRON,3547249,3530178,16056,320305,184,89966,0.08
2016,KENT,1461054,1448663,10517,170346,109,46845,0.04
2016,KILLINGLY,22502735,22360136,75208,2342760,1141,643865,0.58
2016,KILLINGWORTH,1911684,1893152,7631,136995,129,37674,0.03
2016,LEBANON,4545202,4519122,20262,395842,243,108856,0.1
